,Runs,Mins,BF,4s,6s,SR,Pos,Dismissal,Inns,Opposition,Ground,Start Date
0,7*,14,12,0,0,58.33,11,not out,2,v Bangladesh,Dhaka,10 Nov 2000
1,DNB,-,-,-,-,-,-,-,4,v Bangladesh,Dhaka,10 Nov 2000
2,DNB,-,-,-,-,-,-,-,1,v Zimbabwe,Nagpur,25 Nov 2000
3,3,24,19,0,0,15.78,9,bowled,2,v Australia,Kolkata,11 Mar 2001
4,23*,19,15,3,0,153.33,8,not out,3,v Australia,Kolkata,11 Mar 2001
5,4,25,20,0,0,20.00,9,caught,2,v Australia,Chennai,18 Mar 2001
6,0,31,14,0,0,0.00,9,caught,4,v Australia,Chennai,18 Mar 2001
7,0,2,3,0,0,0.00,10,bowled,2,v Zimbabwe,Bulawayo,7 Jun 2001
8,DNB,-,-,-,-,-,-,-,4,v Zimbabwe,Bulawayo,7 Jun 2001
9,0*,22,12,0,0,0.00,10,not out,1,v Sri Lanka,Galle,14 Aug 2001
10,3,37,29,0,0,10.34,9,caught,3,v Sri Lanka,Galle,14 Aug 2001
11,0,13,19,0,0,0.00,9,caught,2,v Sri Lanka,Kandy,22 Aug 2001
12,DNB,-,-,-,-,-,-,-,4,v Sri Lanka,Kandy,22 Aug 2001
13,0,3,2,0,0,0.00,10,caught,1,v Sri Lanka,Colombo (SSC),29 Aug 2001
14,45,44,40,5,2,112.50,10,caught,3,v Sri Lanka,Colombo (SSC),29 Aug 2001
15,0,2,4,0,0,0.00,10,caught,1,v South Africa,Bloemfontein,3 Nov 2001
16,0,2,2,0,0,0.00,10,caught,3,v South Africa,Bloemfontein,3 Nov 2001
17,0,2,2,0,0,0.00,8,bowled,2,v Zimbabwe,Nagpur,21 Feb 2002
18,8,16,11,1,0,72.72,11,bowled,2,v Zimbabwe,Delhi,28 Feb 2002
19,DNB,-,-,-,-,-,-,-,4,v Zimbabwe,Delhi,28 Feb 2002
20,DNB,-,-,-,-,-,-,-,2,v West Indies,Georgetown,11 Apr 2002
21,5,27,20,1,0,25.00,9,bowled,1,v West Indies,Port of Spain,19 Apr 2002
22,4,13,7,0,0,57.14,10,run out,3,v West Indies,Port of Spain,19 Apr 2002
23,4,9,6,1,0,66.66,9,caught,1,v West Indies,Bridgetown,2 May 2002
24,46,70,45,4,2,102.22,9,caught,3,v West Indies,Bridgetown,2 May 2002
25,4,17,7,0,0,57.14,9,caught,1,v West Indies,St John's,10 May 2002
26,6,22,12,0,0,50.00,9,caught,2,v West Indies,Kingston,18 May 2002
27,12,55,30,1,0,40.00,9,caught,4,v West Indies,Kingston,18 May 2002
28,3,33,24,0,0,12.50,11,caught,2,v England,Lord's,25 Jul 2002
29,7,7,4,1,0,175.00,10,caught,4,v England,Lord's,25 Jul 2002
30,14*,53,30,3,0,46.66,10,not out,1,v England,Nottingham,8 Aug 2002
31,14*,44,40,1,0,35.00,10,not out,3,v England,Nottingham,8 Aug 2002
32,DNB,-,-,-,-,-,-,-,1,v England,Leeds,22 Aug 2002
33,6*,27,16,1,0,37.50,11,not out,2,v England,The Oval,5 Sep 2002
34,0,1,1,0,0,0.00,10,lbw,1,v West Indies,Mumbai,9 Oct 2002
35,4,15,9,0,0,44.44,11,run out,2,v West Indies,Chennai,17 Oct 2002
36,DNB,-,-,-,-,-,-,-,4,v West Indies,Chennai,17 Oct 2002
37,19,39,29,3,0,65.51,10,caught,1,v New Zealand,Wellington,12 Dec 2002
38,9,16,9,1,0,100.00,10,caught,3,v New Zealand,Wellington,12 Dec 2002
39,0,8,7,0,0,0.00,9,bowled,1,v New Zealand,Hamilton,19 Dec 2002
40,0,6,3,0,0,0.00,9,caught,3,v New Zealand,Hamilton,19 Dec 2002
41,DNB,-,-,-,-,-,-,-,1,v New Zealand,Ahmedabad,8 Oct 2003
42,DNB,-,-,-,-,-,-,-,3,v New Zealand,Ahmedabad,8 Oct 2003
43,0,1,1,0,0,0.00,11,caught,2,v New Zealand,Mohali,16 Oct 2003
44,DNB,-,-,-,-,-,-,-,3,v New Zealand,Mohali,16 Oct 2003
45,27,52,46,3,1,58.69,10,bowled,2,v Australia,Brisbane,4 Dec 2003
46,DNB,-,-,-,-,-,-,-,4,v Australia,Brisbane,4 Dec 2003
47,0*,5,1,0,0,0.00,10,not out,1,v Australia,Melbourne,26 Dec 2003
48,1,16,8,0,0,12.50,10,caught,3,v Australia,Melbourne,26 Dec 2003
49,DNB,-,-,-,-,-,-,-,1,v Pakistan,Multan,28 Mar 2004
50,0*,1,1,0,0,0.00,11,not out,2,v Australia,Bengaluru,6 Oct 2004
51,22*,18,20,4,0,110.00,11,not out,4,v Australia,Bengaluru,6 Oct 2004
52,0*,13,5,0,0,0.00,11,not out,2,v Australia,Chennai,14 Oct 2004
53,DNB,-,-,-,-,-,-,-,4,v Australia,Chennai,14 Oct 2004
54,0,11,7,0,0,0.00,11,bowled,2,v Australia,Nagpur,26 Oct 2004
55,25,28,17,2,2,147.05,11,caught,4,v Australia,Nagpur,26 Oct 2004
56,0,6,3,0,0,0.00,11,bowled,1,v Australia,Mumbai,3 Nov 2004
57,0,7,4,0,0,0.00,11,lbw,3,v Australia,Mumbai,3 Nov 2004
58,30,55,34,3,1,88.23,10,bowled,2,v South Africa,Kanpur,20 Nov 2004
59,11*,36,32,1,0,34.37,11,not out,2,v South Africa,Kolkata,28 Nov 2004
60,DNB,-,-,-,-,-,-,-,4,v South Africa,Kolkata,28 Nov 2004
61,75,123,115,10,2,65.21,11,stumped,2,v Bangladesh,Dhaka,10 Dec 2004
62,0*,1,0,0,0,-,11,not out,1,v Bangladesh,Chattogram,17 Dec 2004
63,0,1,2,0,0,0.00,11,caught,2,v Pakistan,Mohali,8 Mar 2005
64,DNB,-,-,-,-,-,-,-,4,v Pakistan,Mohali,8 Mar 2005
65,13*,19,14,0,1,92.85,11,not out,2,v Zimbabwe,Bulawayo,13 Sep 2005
66,3,6,9,0,0,33.33,11,caught,2,v Zimbabwe,Harare,20 Sep 2005
67,DNB,-,-,-,-,-,-,-,4,v Zimbabwe,Harare,20 Sep 2005
68,20*,45,32,2,1,62.50,10,not out,2,v Pakistan,Faisalabad,21 Jan 2006
69,DNB,-,-,-,-,-,-,-,4,v Pakistan,Faisalabad,21 Jan 2006
70,21,55,37,2,0,56.75,10,caught,2,v Pakistan,Karachi,29 Jan 2006
71,10,20,17,2,0,58.82,10,bowled,4,v Pakistan,Karachi,29 Jan 2006
72,9,32,23,0,0,39.13,9,lbw,1,v South Africa,Johannesburg,15 Dec 2006
73,37,107,80,3,2,46.25,9,caught,3,v South Africa,Johannesburg,15 Dec 2006
74,2,19,20,0,0,10.00,9,caught,2,v South Africa,Durban,26 Dec 2006
75,21,80,56,2,0,37.50,9,caught,4,v South Africa,Durban,26 Dec 2006
76,1,11,12,0,0,8.33,9,stumped,1,v South Africa,Cape Town,2 Jan 2007
77,1,20,7,0,0,14.28,9,run out,3,v South Africa,Cape Town,2 Jan 2007
78,0,2,3,0,0,0.00,9,caught,1,v Bangladesh,Chattogram,18 May 2007
79,2*,3,3,0,0,66.66,8,not out,3,v Bangladesh,Chattogram,18 May 2007
80,DNB,-,-,-,-,-,-,-,1,v Bangladesh,Dhaka,25 May 2007
81,7,14,7,1,0,100.00,10,caught,2,v England,Lord's,19 Jul 2007
82,0,20,15,0,0,0.00,9,caught,4,v England,Lord's,19 Jul 2007
