,Overs,Mdns,Runs,Wkts,Econ,Pos,Inns,Unnamed: 7,Opposition,Ground,Start Date
0,18.0,2,47,5,2.61,3,2,,v India,Melbourne,26 Dec 1999
1,19.0,6,31,2,1.63,4,4,,v India,Melbourne,26 Dec 1999
2,21.0,9,39,4,1.85,3,1,,v India,Sydney,2 Jan 2000
3,11.0,2,67,2,6.09,3,3,,v India,Sydney,2 Jan 2000
4,7.0,4,19,2,2.71,4,2,,v New Zealand,Auckland,11 Mar 2000
5,12.0,4,36,2,3.00,2,4,,v New Zealand,Auckland,11 Mar 2000
6,17.0,2,49,3,2.88,2,1,,v New Zealand,Wellington,24 Mar 2000
7,23.0,6,87,3,3.78,2,3,,v New Zealand,Wellington,24 Mar 2000
8,23.0,8,77,5,3.34,2,1,,v New Zealand,Hamilton,31 Mar 2000
9,18.4,2,46,3,2.46,2,3,,v New Zealand,Hamilton,31 Mar 2000
10,11.1,5,24,1,2.14,2,1,,v West Indies,Brisbane,23 Nov 2000
11,18.0,9,40,3,2.22,2,3,,v West Indies,Brisbane,23 Nov 2000
12,15.0,5,52,2,3.46,2,1,,v West Indies,Perth,1 Dec 2000
13,15.0,2,61,5,4.06,2,3,,v West Indies,Perth,1 Dec 2000
14,12.0,2,71,0,5.91,3,1,,v England,Birmingham,5 Jul 2001
15,7.0,0,37,2,5.28,5,3,,v England,Birmingham,5 Jul 2001
16,16.0,3,46,1,2.87,3,1,,v England,Lord's,19 Jul 2001
17,9.0,1,41,1,4.55,3,3,,v England,Lord's,19 Jul 2001
18,6.5,0,30,1,4.39,2,1,,v England,Nottingham,2 Aug 2001
19,8.0,1,30,1,3.75,3,3,,v England,Nottingham,2 Aug 2001
20,22.0,3,103,2,4.68,3,2,,v England,Leeds,16 Aug 2001
21,16.0,4,65,0,4.06,4,4,,v England,Leeds,16 Aug 2001
22,14.0,1,43,0,3.07,4,2,,v England,The Oval,23 Aug 2001
23,10.0,3,30,1,3.00,1,3,,v England,The Oval,23 Aug 2001
24,23.0,6,67,5,2.91,3,2,,v New Zealand,Brisbane,8 Nov 2001
25,10.0,0,53,1,5.30,1,4,,v New Zealand,Brisbane,8 Nov 2001
26,19.0,5,51,0,2.68,4,2,,v New Zealand,Hobart,22 Nov 2001
27,32.5,5,125,4,3.80,3,1,,v New Zealand,Perth,30 Nov 2001
28,16.0,3,56,4,3.50,3,3,,v New Zealand,Perth,30 Nov 2001
29,19.0,2,81,0,4.26,4,2,,v South Africa,Adelaide,14 Dec 2001
30,12.0,3,29,2,2.41,4,4,,v South Africa,Adelaide,14 Dec 2001
31,31.0,10,77,3,2.48,2,1,,v South Africa,Melbourne,26 Dec 2001
32,18.0,5,52,2,2.88,2,3,,v South Africa,Melbourne,26 Dec 2001
33,6.0,2,13,0,2.16,2,2,,v South Africa,Sydney,2 Jan 2002
34,19.0,5,62,2,3.26,3,3,,v South Africa,Sydney,2 Jan 2002
35,10.0,1,40,3,4.00,4,2,,v South Africa,Johannesburg,22 Feb 2002
36,10.0,2,55,0,5.50,2,3,,v South Africa,Johannesburg,22 Feb 2002
37,16.0,1,65,2,4.06,3,1,,v South Africa,Cape Town,8 Mar 2002
38,22.0,3,99,1,4.50,4,3,,v South Africa,Cape Town,8 Mar 2002
39,17.2,1,82,4,4.73,2,2,,v South Africa,Durban,15 Mar 2002
40,20.0,2,75,0,3.75,2,4,,v South Africa,Durban,15 Mar 2002
41,20.0,1,78,3,3.90,3,1,,v England,Perth,29 Nov 2002
42,18.1,3,72,2,3.96,1,3,,v England,Perth,29 Nov 2002
43,17.0,4,70,2,4.11,4,2,,v England,Melbourne,26 Dec 2002
44,27.0,4,87,1,3.22,4,3,,v England,Melbourne,26 Dec 2002
45,31.0,9,97,2,3.12,2,1,,v England,Sydney,2 Jan 2003
46,31.3,5,132,3,4.19,2,3,,v England,Sydney,2 Jan 2003
47,10.3,1,41,2,3.90,1,1,,v West Indies,Georgetown,10 Apr 2003
48,14.0,4,57,0,4.07,3,3,,v West Indies,Georgetown,10 Apr 2003
49,23.0,4,69,4,3.00,1,2,,v West Indies,Port of Spain,19 Apr 2003
50,19.0,4,68,1,3.57,1,4,,v West Indies,Port of Spain,19 Apr 2003
51,25.0,8,77,1,3.08,3,2,,v West Indies,Bridgetown,1 May 2003
52,15.0,6,44,2,2.93,4,3,,v West Indies,Bridgetown,1 May 2003
53,15.0,2,72,3,4.80,4,2,,v West Indies,St John's,9 May 2003
54,23.0,4,63,4,2.73,3,4,,v West Indies,St John's,9 May 2003
55,8.2,2,23,3,2.76,3,1,,v Bangladesh,Darwin,18 Jul 2003
56,12.0,5,34,1,2.83,3,3,,v Bangladesh,Darwin,18 Jul 2003
57,18.0,1,88,1,4.88,3,1,,v Bangladesh,Cairns,25 Jul 2003
58,11.0,2,45,1,4.09,4,3,,v Bangladesh,Cairns,25 Jul 2003
59,15.0,4,48,3,3.20,1,2,,v Zimbabwe,Perth,9 Oct 2003
60,35.0,8,96,1,2.74,1,3,,v Zimbabwe,Perth,9 Oct 2003
61,23.0,5,78,2,3.39,1,1,,v Zimbabwe,Sydney,17 Oct 2003
62,DNB,-,-,-,-,-,3,,v Zimbabwe,Sydney,17 Oct 2003
63,27.0,7,103,2,3.81,1,1,,v India,Melbourne,26 Dec 2003
64,22.0,3,97,2,4.40,1,3,,v India,Melbourne,26 Dec 2003
65,39.3,5,201,4,5.08,1,1,,v India,Sydney,2 Jan 2004
66,12.2,2,75,0,6.08,1,3,,v India,Sydney,2 Jan 2004
67,15.1,5,47,3,3.09,2,2,,v England,Lord's,21 Jul 2005
68,15.0,3,58,2,3.86,2,4,,v England,Lord's,21 Jul 2005
69,17.0,1,111,1,6.52,1,1,,v England,Birmingham,4 Aug 2005
70,18.0,1,82,4,4.55,1,3,,v England,Birmingham,4 Aug 2005
71,27.0,6,100,4,3.70,2,1,,v England,Manchester,11 Aug 2005
72,12.0,0,60,1,5.00,2,3,,v England,Manchester,11 Aug 2005
73,32.0,2,131,1,4.09,1,1,,v England,Nottingham,25 Aug 2005
74,12.0,0,51,3,4.25,1,4,,v England,Nottingham,25 Aug 2005
75,23.0,3,94,1,4.08,2,1,,v England,The Oval,8 Sep 2005
76,20.0,4,88,0,4.40,2,3,,v England,The Oval,8 Sep 2005
